event_id,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,r_stance_encoded,b_stance_encoded,winner_encoded,method_encoded,gender_encoded,weight_class_encoded
1,Bekzat Almakhan,Brad Katona,Red,Bantamweight,0,Men,KO/TKO,1,3.0,64,,0,1,4,0.25,1,4,0.0,0,0,0.0,0,0,0,0,1,26.0,170.18,0.0,172.72,Orthodox,0.6,13.6,0.1875,0.0,0.3061224489795918,0.0,0.0,0.0,1,8,11,0.72,8,11,0.0,0,0,0.0,0,0,2,3,3,32.0,167.64,0.0,162.56,Orthodox,14.133333333333333,14.933333333333334,0.4982373678025852,0.2727272727272727,0.4802784222737819,0.5263157894736843,0.0,4.5,-1,-7,-7,-0.47,-7,-7,0.0,0,0,0.0,0,0,-2,-3,-2,-6.0,2.5400000000000205,0.0,10.159999999999997,-13.533333333333331,-1.333333333333334,-0.3107373678025852,-0.2727272727272727,-0.17415597329419,-0.5263157894736843,0.0,-4.5,0,0,0,1.0,1,3
1,Jack Della Maddalena,Belal Muhammad,Red,Welterweight,0,Men,Decision - Unanimous,5,3.0,1500,,0,21,49,0.42,21,49,0.0,0,1,0.0,0,0,4,7,0,27.0,180.34,0.0,185.42,Switch,14.607645875251508,9.41649899396378,0.5516717325227963,0.3333333333333333,0.6671408250355619,0.6944444444444444,0.6036217303822937,0.6036217303822937,0,28,61,0.45,28,61,0.0,0,0,0.0,0,0,0,14,3,35.0,180.34,0.0,182.88,Orthodox,15.064655172413794,11.870689655172416,0.4326030449313033,0.3505154639175257,0.5800548947849955,0.931818181818182,0.5818965517241379,6.594827586206897,0,-7,-12,-0.03,-7,-12,0.0,0,1,0.0,0,0,4,-7,-3,-8.0,0.0,0.0,2.539999999999992,-0.4570092971622852,-2.4541906612086333,0.1190686875914929,-0.0171821305841924,0.0870859302505664,-0.2373737373737374,0.0217251786581558,-5.991205855824603,1,0,0,0.0,1,11
1,Valentina Shevchenko,Manon Fiorot,Red,Women's Flyweight,0,Men,Decision - Unanimous,5,3.0,1500,,0,19,36,0.52,57,75,0.0,1,1,1.0,0,0,94,12,3,36.0,165.1,0.0,167.64,Southpaw,13.843683083511776,8.367237687366167,0.5340768277571252,0.6428571428571429,0.6356643356643357,0.7222222222222222,1.4453961456102784,10.840471092077088,0,13,32,0.4,20,39,0.0,0,0,0.0,0,0,0,6,0,34.0,170.18,0.0,165.1,Orthodox,17.21130221130221,9.398034398034396,0.3954276037256562,0.4666666666666667,0.6960667461263409,0.9166666666666666,0.0,3.86977886977887,0,6,4,0.12,37,36,0.0,1,1,1.0,0,0,94,6,3,2.0,-5.0800000000000125,0.0,2.539999999999992,-3.3676191277904337,-1.0307967106682303,0.1386492240314689,0.1761904761904762,-0.0604024104620052,-0.1944444444444444,1.4453961456102784,6.970692222298219,2,0,0,0.0,1,0
1,Aiemann Zahabi,Jose Aldo,Red,Featherweight,0,Men,Decision - Unanimous,3,3.0,900,,0,23,59,0.38,23,59,0.0,0,0,0.0,0,0,0,5,2,36.0,172.72,0.0,172.72,Orthodox,9.993618379068284,10.529674537332482,0.4371859296482412,0.1666666666666666,0.7123430962343096,0.7916666666666666,0.0,0.574345883854499,0,21,46,0.45,21,46,0.0,0,0,0.0,0,0,0,13,7,37.0,170.18,0.0,177.8,Orthodox,13.669093055282314,16.52567381467637,0.4507590502140911,0.5217391304347826,0.5861661247413539,0.9052631578947368,0.7082431634861303,2.1247294904583907,0,2,13,-0.07,2,13,0.0,0,0,0.0,0,0,0,-8,-5,-1.0,2.539999999999992,0.0,-5.0800000000000125,-3.67547467621403,-5.995999277343888,-0.0135731205658498,-0.3550724637681159,0.1261769714929557,-0.1135964912280702,-0.7082431634861303,-1.5503836066038916,0,0,0,0.0,1,4
1,Natalia Silva,Alexa Grasso,Red,Women's Flyweight,0,Men,Decision - Unanimous,3,3.0,900,,0,11,36,0.3,12,37,0.0,0,1,0.0,0,0,13,5,0,27.0,162.56,0.0,165.1,Southpaw,13.854077253218884,6.437768240343347,0.445364238410596,0.2857142857142857,0.6508379888268156,0.9130434782608696,0.0,1.5450643776824031,0,16,48,0.33,24,56,0.0,0,0,0.0,0,0,0,8,3,30.0,165.1,0.0,167.64,Orthodox,14.86829268292683,12.409756097560976,0.4329545454545455,0.4444444444444444,0.5936102236421725,0.6111111111111112,1.7560975609756098,1.170731707317073,0,-5,-12,-0.03,-12,-19,0.0,0,1,0.0,0,0,13,-3,-3,-3.0,-2.539999999999992,0.0,-2.539999999999992,-1.0142154297079475,-5.971987857217629,0.0124096929560505,-0.1587301587301587,0.0572277651846431,0.3019323671497584,-1.7560975609756098,0.3743326703653302,2,0,0,0.0,1,0
1,Benoit Saint Denis,Kyle Prepolec,Red,Lightweight,0,Men,Submission,2,3.0,455,,0,10,16,0.62,27,43,0.0,2,3,0.66,1,0,272,5,2,28.0,180.34,0.0,185.42,Southpaw,14.080130825838104,12.31398201144726,0.5466666666666666,0.3720930232558139,0.428246013667426,0.6923076923076923,3.679476696647588,11.774325429272285,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,2,34.0,177.8,0.0,177.8,Southpaw,9.6,14.1,0.3490909090909091,0.0,0.549520766773163,0.4,0.0,0.0,0,10,15,0.62,27,42,0.0,2,3,0.66,1,0,272,5,0,-6.0,2.539999999999992,0.0,7.619999999999976,4.4801308258381045,-1.7860179885527394,0.1975757575757575,0.3720930232558139,-0.1212747531057369,0.2923076923076922,3.679476696647588,11.774325429272285,2,2,0,2.0,1,5
1,Daniel Santos,JeongYeong Lee,Red,Featherweight,0,Men,Decision - Unanimous,3,3.0,900,,0,33,78,0.42,40,85,0.0,0,5,0.0,0,0,67,2,1,29.0,170.18,0.0,170.18,Orthodox,11.612903225806452,13.963133640552996,0.3700440528634361,0.5,0.5073170731707317,0.7333333333333334,0.0,5.184331797235023,0,35,61,0.57,35,61,0.0,0,0,0.0,0,0,0,2,0,28.0,177.8,0.0,185.42,Orthodox,7.4,4.3,0.5323741007194245,0.6666666666666666,0.6160714285714286,0.7916666666666666,0.0,3.0,0,-2,17,-0.1499999999999999,5,24,0.0,0,5,0.0,0,0,67,0,1,1.0,-7.620000000000003,0.0,-15.23999999999998,4.212903225806452,9.663133640552996,-0.1623300478559883,-0.1666666666666666,-0.1087543554006968,-0.0583333333333332,0.0,2.184331797235023,0,0,0,0.0,1,4
1,Jasmine Jasudavicius,Jessica Andrade,Red,Women's Flyweight,0,Men,Submission,1,3.0,160,,0,4,8,0.5,4,8,0.0,0,0,0.0,0,0,0,4,2,35.0,170.18,0.0,172.72,Orthodox,11.652470187393526,12.129471890971038,0.4566088117489986,0.3333333333333333,0.5129958960328318,0.8,1.533219761499148,5.621805792163543,0,11,18,0.61,27,37,0.0,1,2,0.5,1,0,72,16,10,32.0,154.94,0.0,157.48,Orthodox,16.13044947617438,12.97735721527543,0.5079821200510856,0.5492957746478874,0.5456159034433794,0.72,0.9124704291990536,5.931057789793849,0,-7,-10,-0.1099999999999999,-23,-29,0.0,-1,-2,-0.5,-1,0,-72,-12,-8,3.0,15.240000000000007,0.0,15.240000000000007,-4.477979288780855,-0.8478853243043929,-0.0513733083020869,-0.215962441314554,-0.0326200074105476,0.08,0.6207493323000943,-0.3092519976303061,0,0,0,2.0,1,0
1,Modestas Bukauskas,Ion Cutelaba,Red,Light Heavyweight,0,Men,Decision - Split,3,3.0,900,,0,12,34,0.35,12,34,0.0,0,0,0.0,0,0,0,3,4,30.0,190.5,0.0,198.12,Switch,8.409387222946545,9.934810951760104,0.4118773946360153,0.0,0.5,0.7142857142857143,0.0,0.0,0,17,46,0.36,17,46,0.0,0,0,0.0,0,0,0,6,9,30.0,185.42,0.0,190.5,Southpaw,9.978902953586498,7.088607594936709,0.4339449541284403,0.625,0.4806800618238022,0.7714285714285715,0.0,7.911392405063291,0,-5,-12,-0.01,-5,-12,0.0,0,0,0.0,0,0,0,-3,-5,0.0,5.0800000000000125,0.0,7.620000000000003,-1.569515730639953,2.846203356823395,-0.022067559492425,-0.625,0.0193199381761978,-0.0571428571428571,0.0,-7.911392405063291,1,2,0,4.0,1,8
1,Navajo Stirling,Ivan Erslan,Red,Light Heavyweight,0,Men,Decision - Unanimous,3,3.0,900,,0,31,76,0.4,31,76,0.0,0,0,0.0,0,0,0,0,0,,,0.0,,Orthodox,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,12,30,0.4,12,30,0.0,0,0,0.0,0,0,0,0,0,,,0.0,,Orthodox,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,19,46,0.0,19,46,0.0,0,0,0.0,0,0,0,0,0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,8
