event_id,event_name
1,UFC Fight Night: Ribas vs. Namajunas
2,UFC Fight Night: Tuivasa vs. Tybura
3,UFC 299: O'Malley vs. Vera 2
4,UFC Fight Night: Rozenstruik vs. Gaziev
5,UFC Fight Night: Moreno vs. Royval 2
6,UFC 298: Volkanovski vs. Topuria
7,UFC Fight Night: Hermansson vs. Pyfer
8,UFC Fight Night: Dolidze vs. Imavov
9,UFC 297: Strickland vs. Du Plessis
10,UFC Fight Night: Ankalaev vs. Walker 2
11,UFC 296: Edwards vs. Covington
12,UFC Fight Night: Song vs. Gutierrez
13,UFC Fight Night: Dariush vs. Tsarukyan
14,UFC Fight Night: Allen vs. Craig
15,UFC 295: Prochazka vs. Pereira
16,UFC Fight Night: Almeida vs. Lewis
17,UFC 294: Makhachev vs. Volkanovski 2
18,UFC Fight Night: Yusuff vs. Barboza
19,UFC Fight Night: Dawson vs. Green
20,UFC Fight Night: Fiziev vs. Gamrot
21,UFC Fight Night: Grasso vs. Shevchenko 2
22,UFC 293: Adesanya vs. Strickland
23,UFC Fight Night: Gane vs. Spivac
24,UFC Fight Night: Holloway vs. The Korean Zombie
25,UFC 292: Sterling vs. O'Malley
26,UFC Fight Night: Luque vs. Dos Anjos
27,UFC Fight Night: Sandhagen vs. Font
28,UFC 291: Poirier vs. Gaethje 2
29,UFC Fight Night: Aspinall vs. Tybura
30,UFC Fight Night: Holm vs. Bueno Silva
31,UFC 290: Volkanovski vs. Rodriguez
32,UFC Fight Night: Strickland vs. Magomedov
33,UFC Fight Night: Emmett vs. Topuria
34,UFC Fight Night: Vettori vs. Cannonier
35,UFC 289: Nunes vs. Aldana
36,UFC Fight Night: Kara-France vs. Albazi
37,UFC Fight Night: Dern vs. Hill
38,UFC Fight Night: Rozenstruik vs. Almeida
39,UFC 288: Sterling vs. Cejudo
40,UFC Fight Night: Song vs. Simon
41,UFC Fight Night: Pavlovich vs. Blaydes
42,UFC Fight Night: Holloway vs. Allen
43,UFC 287: Pereira vs. Adesanya 2
44,UFC Fight Night: Vera vs. Sandhagen
45,UFC 286: Edwards vs. Usman 3
46,UFC Fight Night: Yan vs. Dvalishvili
47,UFC 285: Jones vs. Gane
48,UFC Fight Night: Muniz vs. Allen
49,UFC Fight Night: Andrade vs. Blanchfield
50,UFC 284: Makhachev vs. Volkanovski
51,UFC Fight Night: Lewis vs. Spivac
52,UFC 283: Teixeira vs. Hill
53,UFC Fight Night: Strickland vs. Imavov
54,UFC Fight Night: Cannonier vs. Strickland
55,UFC 282: Blachowicz vs. Ankalaev
56,UFC Fight Night: Thompson vs. Holland
57,UFC Fight Night: Nzechukwu vs. Cutelaba
58,UFC 281: Adesanya vs. Pereira
59,UFC Fight Night: Rodriguez vs. Lemos
60,UFC Fight Night: Kattar vs. Allen
61,UFC 280: Oliveira vs. Makhachev
62,UFC Fight Night: Grasso vs. Araujo
63,UFC Fight Night: Dern vs. Yan
64,UFC Fight Night: Sandhagen vs. Song
65,UFC 279: Diaz vs. Ferguson
66,UFC Fight Night: Gane vs. Tuivasa
67,UFC 278: Usman vs. Edwards
68,UFC Fight Night: Vera vs. Cruz
69,UFC Fight Night: Santos vs. Hill
70,UFC 277: Pena vs. Nunes 2
71,UFC Fight Night: Blaydes vs. Aspinall
72,UFC Fight Night: Ortega vs. Rodriguez
73,UFC Fight Night: Dos Anjos vs. Fiziev
74,UFC 276: Adesanya vs. Cannonier
75,UFC Fight Night: Tsarukyan vs. Gamrot
76,UFC Fight Night: Kattar vs. Emmett
77,UFC 275: Teixeira vs. Prochazka
78,UFC Fight Night: Volkov vs. Rozenstruik
79,UFC Fight Night: Holm vs. Vieira
80,UFC Fight Night: Blachowicz vs. Rakic
81,UFC 274: Oliveira vs. Gaethje
82,UFC Fight Night: Font vs. Vera
83,UFC Fight Night: Lemos vs. Andrade
84,UFC Fight Night: Luque vs. Muhammad
85,UFC 273: Volkanovski vs. The Korean Zombie
86,UFC Fight Night: Blaydes vs. Daukaus
87,UFC Fight Night: Volkov vs. Aspinall
88,UFC Fight Night: Santos vs. Ankalaev
89,UFC 272: Covington vs. Masvidal
90,UFC Fight Night: Makhachev vs. Green
91,UFC Fight Night: Walker vs. Hill
92,UFC 271: Adesanya vs. Whittaker 2
93,UFC Fight Night: Hermansson vs. Strickland
94,UFC 270: Ngannou vs. Gane
95,UFC Fight Night: Kattar vs. Chikadze
96,UFC Fight Night: Lewis vs. Daukaus
97,UFC 269: Oliveira vs. Poirier
98,UFC Fight Night: Font vs. Aldo
99,UFC Fight Night: Vieira vs. Tate
100,UFC Fight Night: Holloway vs. Rodriguez
101,UFC 268: Usman vs. Covington 2
102,UFC 267: Blachowicz vs. Teixeira
103,UFC Fight Night: Costa vs. Vettori
104,UFC Fight Night: Ladd vs. Dumont
105,UFC Fight Night: Dern vs. Rodriguez
106,UFC Fight Night: Santos vs. Walker
107,UFC 266: Volkanovski vs. Ortega
108,UFC Fight Night: Smith vs. Spann
109,UFC Fight Night: Brunson vs. Till
110,UFC Fight Night: Barboza vs. Chikadze
111,UFC Fight Night: Cannonier vs. Gastelum
112,UFC 265: Lewis vs. Gane
113,UFC Fight Night: Hall vs. Strickland
114,UFC Fight Night: Sandhagen vs. Dillashaw
115,UFC Fight Night: Makhachev vs. Moises
116,UFC 264: Poirier vs. McGregor 3
117,UFC Fight Night: Gane vs. Volkov
118,UFC Fight Night: Jung vs. Ige
119,UFC 263: Adesanya vs. Vettori 2
120,UFC Fight Night: Rozenstruik vs. Sakai
121,UFC Fight Night: Font vs. Garbrandt
